Text,Keyword,Color,Emotion,Sentiment
Waking up to a beautiful sunrise,beautiful,Yellow,Happiness,Positive
Laughing uncontrollably with friends,laughing,Yellow,Happiness,Positive
Discovering a new favorite song,favorite,Yellow,Happiness,Positive
Getting a surprise package in the mail,surprise,Yellow,Happiness,Positive
Enjoying a delicious meal with loved ones,enjoying,Yellow,Happiness,Positive
Feeling the warm sun on your skin,warm,Yellow,Happiness,Positive
Snuggling under a cozy blanket on a rainy day,rainy,Yellow,Happiness,Positive
Receiving a heartfelt compliment,compliment,Yellow,Happiness,Positive
Seeing a rainbow after a storm,rainbow,Yellow,Happiness,Positive
Dancing like nobody's watching,dancing,Yellow,Happiness,Positive
Hugging someone you haven't seen in a long time,hugging,Yellow,Happiness,Positive
Accomplishing a goal you've been working towards,goal,Yellow,Happiness,Positive
Watching a cute animal video that makes you smile,smile,Yellow,Happiness,Positive
"Taking a long, relaxing bath",relaxing,Yellow,Happiness,Positive
Seeing a breathtaking view from the top of a mountain,breattaking,Yellow,Happiness,Positive
Making someone else happy with a kind gesture,happy,Yellow,Happiness,Positive
Feeling the sand between your toes at the beach,feeling,Yellow,Happiness,Positive
Hearing your favorite song on the radio,favorite,Yellow,Happiness,Positive
Witnessing an act of kindness,kindness,Yellow,Happiness,Positive
Enjoying a good book that you can't put down,good,Yellow,Happiness,Positive
Watching a stunning sunset,stunning,Yellow,Happiness,Positive
Exploring a new city and discovering hidden gems,new city,Yellow,Happiness,Positive
Receiving a surprise visit from a friend,surprise,Yellow,Happiness,Positive
Trying a new hobby and discovering a new passion,new passion,Yellow,Happiness,Positive
Spending quality time with family,quality,Yellow,Happiness,Positive
Seeing a baby or a cute animal doing something adorable,cute,Yellow,Happiness,Positive
Singing your heart out to your favorite song,favorite,Yellow,Happiness,Positive
Going on a spontaneous adventure,adventure,Yellow,Happiness,Positive
Feeling the rush of adrenaline from trying something new,new,Yellow,Happiness,Positive
Receiving a genuine compliment from a stranger,genuine,Yellow,Happiness,Positive
Making someone else laugh with a silly joke,laughing,Yellow,Happiness,Positive
Seeing a loved one achieve their dreams,loved,Yellow,Happiness,Positive
Enjoying a picnic in a beautiful park,beautiful,Yellow,Happiness,Positive
Finding the perfect outfit that makes you feel confident,confident,Yellow,Happiness,Positive
Receiving a surprise text from someone you care about,surprise,Yellow,Happiness,Positive
Watching a movie that makes you laugh until your stomach hurts,laugh,Yellow,Happiness,Positive
Feeling the excitement of accomplishing a personal milestone,excitement,Yellow,Happiness,Positive
Enjoying a hot cup of coffee or tea on a chilly morning,enjoying,Yellow,Happiness,Positive
Seeing a field of blooming flowers,blooming,Yellow,Happiness,Positive
Having a deep and meaningful conversation with a friend,meaninful,Yellow,Happiness,Positive
