Text,Keyword,Color,Emotion,Sentiment
 I'm feeling joyful today.,joyful,Yellow,Happiness,Positive
She was contented with her life.,contented,Yellow,Happiness,Positive
He was cheerful despite the rain.,cheerful,Yellow,Happiness,Positive
The children were merry as they played in the park.,merry,Yellow,Happiness,Positive
 I'm pleased to hear that you're doing well.,pleased,Yellow,Happiness,Positive
They were delighted with the news.,delighted,Yellow,Happiness,Positive
The audience was ecstatic after the performance.,ecstatic,Yellow,Happiness,Positive
He was elated to receive the award.,elated,Yellow,Happiness,Positive
She was glad to see her old friend again.,glad,Yellow,Happiness,Positive
The team was jubilant after winning the championship.,jubilant,Yellow,Happiness,Positive
The atmosphere was lively at the party.,lively,Yellow,Happiness,Positive
The couple was overjoyed to hear that they were expecting a baby.,overjoyed,Yellow,Happiness,Positive
The students were peaceful as they meditated.,peaceful,Yellow,Happiness,Positive
The weather was pleasant for a picnic.,pleasant,Yellow,Happiness,Positive
 The guests were satisfied with the food and service,satisfied,Yellow,Happiness,Positive
The family was thrilled to be going on vacation.,thrilled,Yellow,Happiness,Positive
The employees were upbeat about the new project,upbeat,Yellow,Happiness,Positive
The baby was blessed with good health.,blessed,Yellow,Happiness,Positive
The bride was blithe on her wedding day.,blithe,Yellow,Happiness,Positive
The team was buoyant after their victory.,buoyant,Yellow,Happiness,Positive
The children were chipper as they sang songs.,chipper,Yellow,Happiness,Positive
The couple was convivial as they chatted with friends.,convivial,Yellow,Happiness,Positive
 The students were euphoric after acing their exams.,euphoric,Yellow,Happiness,Positive
The family was exultant after their son's graduation.,exultant,Yellow,Happiness,Positive
The guests were flying high after the party.,flying high,Yellow,Happiness,Positive
The employees were gay after receiving their bonuses.,gay,Yellow,Happiness,Positive
The baby was gleeful as she played with her toys.,gleeful,Yellow,Happiness,Positive
The bride was gratified by the compliments on her dress.,gratified,Yellow,Happiness,Positive
The team was high-spirited before the game.,high-spirited,Yellow,Happiness,Positive
The children were jolly as they decorated the Christmas tree.,jolly,Yellow,Happiness,Positive
The couple was laughing as they watched a comedy.,laughing,Yellow,Happiness,Positive
The students were light-hearted as they joked around.,light-hearted,Yellow,Happiness,Positive
The family was mirthful as they played board games.,mirthful,Yellow,Happiness,Positive
The guests were on cloud nine after the announcement.,cloud nine,Yellow,Happiness,Positive
The employees were optimistic about the future.,optimistic,Yellow,Happiness,Positive
The baby was perky as she crawled around.,perky,Yellow,Happiness,Positive
The bride was playful as she danced with her husband.,playful,Yellow,Happiness,Positive
The team was positive about their chances of winning.,positive,Yellow,Happiness,Positive
The children were sparkling as they watched the fireworks.,sparkling,Yellow,Happiness,Positive
The couple was sunny as they strolled along the beach.,sunny,Yellow,Happiness,Positive
The students were tickled by the surprise party.,tickled,Yellow,Happiness,Positive
The family was upbeat about the upcoming holiday.,upbeat,Yellow,Happiness,Positive
The guests were walking on air after the concert.,walking on air,Yellow,Happiness,Positive
The employees were whistling as they worked.,whistling,Yellow,Happiness,Positive
The baby was zippy as she crawled around.,zippy,Yellow,Happiness,Positive
The bride was blissful on her honeymoon.,blissful,Yellow,Happiness,Positive
The team was bubbling over with excitement.,bubbling over,Yellow,Happiness,Positive
The children were bouncy as they played on the trampoline.,bouncy,Yellow,Happiness,Positive
The couple was carefree as they explored the city.,carefree,Yellow,Happiness,Positive
The students were chirpy as they studied for their exams.,chirpy,Yellow,Happiness,Positive
The family was comfortable in their new home.,comfortable,Yellow,Happiness,Positive
The guests were complacent after the successful event.,complacent,Yellow,Happiness,Positive
The employees were confident about their abilities.,confident,Yellow,Happiness,Positive
The baby was cozy in her blanket.,cozy,Yellow,Happiness,Positive
The bride was dreamy as she looked into her husband's eyes.,dreamy,Yellow,Happiness,Positive
The team was eager to start the game.,eager,Yellow,Happiness,Positive
The children were energetic as they ran around the playground.,energetic,Yellow,Happiness,Positive
The couple was enthusiastic about their new business venture.,enthusiastic,Yellow,Happiness,Positive
The students were excited about the upcoming field trip.,excited,Yellow,Happiness,Positive
The family was fond of their pet dog.,fond,Yellow,Happiness,Positive
I'm feeling unhappy today.,unhappy,Blue,Sadness,Negative
She was heartbroken after the breakup.,heartbroken,Blue,Sadness,Negative
He was depressed after losing his job.,depressed,Blue,Sadness,Negative
The children were miserable after their pet died.,miserable,Blue,Sadness,Negative
I'm sorry to hear about your loss.,loss,Blue,Sadness,Negative
They were dismal after the defeat.,dismal,Blue,Sadness,Negative
The audience was gloomy after the tragedy.,gloomy,Blue,Sadness,Negative
He was melancholy after the funeral.,melancholy,Blue,Sadness,Negative
She was downcast after the diagnosis.,downcast,Blue,Sadness,Negative
The team was dispirited after the loss.,dispirited,Blue,Sadness,Negative
The atmosphere was somber at the funeral.,somber,Blue,Sadness,Negative
The couple was wistful after the separation.,wistful,Blue,Sadness,Negative
The students were oppressed by the workload.,oppressed,Blue,Sadness,Negative
The weather was dreary on the day of the picnic.,dreany,Blue,Sadness,Negative
The guests were disappointed with the service.,disappointed,Blue,Sadness,Negative
The family was woeful after the accident.,woeful,Blue,Sadness,Negative
The employees were crestfallen after the layoff.,crestfallen,Blue,Sadness,Negative
The baby was lamentable after the vaccination.,lamentable,Blue,Sadness,Negative
The bride was distressed on her wedding day.,distressed,Blue,Sadness,Negative
The team was tragic after the injury.,tragic,Blue,Sadness,Negative
The children were sorrowful after the loss.,sorrowful,Blue,Sadness,Negative
The couple was regretful after the argument.,regretful,Blue,Sadness,Negative
The students were down after the exam.,down,Blue,Sadness,Negative
The family was grieved after the loss.,grieved,Blue,Sadness,Negative
The guests were disheartened after the speech.,dishearted,Blue,Sadness,Negative
The employees were hopeless after the meeting.,hopeless,Blue,Sadness,Negative
The baby was tearful after the fall.,tearful,Blue,Sadness,Negative
The bride was mournful after the death of her father.,mournful,Blue,Sadness,Negative
The team was unfortunate after the penalty.,unfortunate,Blue,Sadness,Negative
The children were unlucky after the accident.,unlucky,Blue,Sadness,Negative
The couple was unhappy after the move.,unhappy,Blue,Sadness,Negative
The students were uncomfortable after the lecture.,uncomfortable,Blue,Sadness,Negative
The family was unfortunate after the fire.,unfortunate,Blue,Sadness,Negative
The guests were unpleasant after the argument.,unpleasant,Blue,Sadness,Negative
The employees were unsuccessful after the pitch.,unsuccessful,Blue,Sadness,Negative
The baby was unwell after the fever.,unwell,Blue,Sadness,Negative
The bride was unlucky after the rain.,unlucky,Blue,Sadness,Negative
The team was unhappy after the draw.,unhappy,Blue,Sadness,Negative
The children were unfortunate after the storm.,unfortunate,Blue,Sadness,Negative
The couple was unlucky after the accident.,unlucky,Blue,Sadness,Negative
The students were unhappy after the assignment.,unhappy,Blue,Sadness,Negative
The family was unfortunate after the robbery.,unfortunate,Blue,Sadness,Negative
The guests were unhappy after the delay.,unhappy,Blue,Sadness,Negative
The employees were unhappy after the appraisal.,unhappy,Blue,Sadness,Negative
The baby was unhappy after the teething.,unhappy,Blue,Sadness,Negative
The bride was unhappy after the dress fitting.,unhappy,Blue,Sadness,Negative
The team was unhappy after the substitution.,unhappy,Blue,Sadness,Negative
The children were unhappy after the punishment.,unhappy,Blue,Sadness,Negative
The couple was unhappy after the counseling.,unhappy,Blue,Sadness,Negative
The students were unhappy after the feedback.,unhappy,Blue,Sadness,Negative
The family was unhappy after the argument.,unhappy,Blue,Sadness,Negative
The guests were unhappy after the service.,unhappy,Blue,Sadness,Negative
The employees were unhappy after the training.,unhappy,Blue,Sadness,Negative
The baby was unhappy after the diaper change.,unhappy,Blue,Sadness,Negative
The bride was unhappy after the makeup.,unhappy,Blue,Sadness,Negative
The team was unhappy after the injury.,unhappy,Blue,Sadness,Negative
The children were unhappy after the scolding.,unhappy,Blue,Sadness,Negative
The couple was unhappy after the misunderstanding.,unhappy,Blue,Sadness,Negative
The students were unhappy after the grade.,unhappy,Blue,Sadness,Negative
The family was unhappy after the separation.,unhappy,Blue,Sadness,Negative
Feeling annoyed today.,annoyed,Red,Angry,Negative
She was vexed by his behavior.,vexed,Red,Angry,Negative
He was exasperated by the delay.,exasperated,Red,Angry,Negative
The children were cross after being scolded.,cross,Red,Angry,Negative
I'm irritated by the constant noise.,irritated,Red,Angry,Negative
They were exasperated by the traffic jam.,exasperated,Red,Angry,Negative
The audience was outraged by the politician's comments.,outraged,Red,Angry,Negative
He was furious after being lied to.,furious,Red,Angry,Negative
She was irked by the lack of communication.,irked,Red,Angry,Negative
The team was incensed by the referee's decision.,incensed,Red,Angry,Negative
The atmosphere was tense after the argument.,tense,Red,Angry,Negative
The couple was fuming after the misunderstanding.,fuming,Red,Angry,Negative
The students were frustrated by the difficult assignment.,frustrated,Red,Angry,Negative
The weather was stormy on the day of the protest.,stromy,Red,Angry,Negative
The guests were displeased with the service.,displeased,Red,Angry,Negative
The family was upset after the accident.,upset,Red,Angry,Negative
The employees were enraged by the pay cut.,enraged,Red,Angry,Negative
The baby was fussy after the vaccination.,fussy,Red,Angry,Negative
The bride was irritated by the late arrival of the guests.,irritated,Red,Angry,Negative
The team was livid after the defeat.,livid,Red,Angry,Negative
The children were mad after losing the game.,mad,Red,Angry,Negative
The couple was offended by the rude comment.,offended,Red,Angry,Negative
The students were pissed off by the teacher's behavior.,pissed off,Red,Angry,Negative
The family was resentful after the argument.,resentful,Red,Angry,Negative
The guests were seething after the insult.,insult,Red,Angry,Negative
The employees were spitting mad after the announcement.,spitting mad,Red,Angry,Negative
The baby was teething and crying.,teething,Red,Angry,Negative
The bride was ticked off by the photographer's behavior.,ticked off,Red,Angry,Negative
The team was worked up before the game.,workedup,Red,Angry,Negative
The children were wrathful after being punished.,wrathful,Red,Angry,Negative
The couple was angry after the argument.,angry,Red,Angry,Negative
The students were bitter after the rejection.,bitter,Red,Angry,Negative
The family was boiling after the accusation.,boiling,Red,Angry,Negative
The guests were burning with anger after the delay.,burning,Red,Angry,Negative
The employees were chafed by the new policy.,chafed,Red,Angry,Negative
The baby was cranky after the nap.,cranky,Red,Angry,Negative
The bride was disgruntled by the wedding planner's behavior.,disgruntled,Red,Angry,Negative
The team was enflamed after the coach's speech.,enflamed,Red,Angry,Negative
The children were fierce after the provocation.,fierce,Red,Angry,Negative
The couple was heated after the discussion.,heated,Red,Angry,Negative
The students were incensed by the unfair grading.,incensed,Red,Angry,Negative
The family was infuriated by the broken promise.,infuriated,Red,Angry,Negative
The guests were irate after the mix-up.,irate,Red,Angry,Negative
The employees were livid after the layoff.,livid,Red,Angry,Negative
The baby was mad after the diaper change.,mad,Red,Angry,Negative
The bride was offended by the dress fitting.,offended,Red,Angry,Negative
The team was outraged by the referee's call.,outraged,Red,Angry,Negative
The children were pissed after the prank.,pissed,Red,Angry,Negative
The couple was provoked by the argument.,provoked,Red,Angry,Negative
The students were rankled by the teacher's behavior.,rankled,Red,Angry,Negative
The family was riled after the accusation.,riled,Red,Angry,Negative
The guests were seething after the insult.,seething,Red,Angry,Negative
The employees were spitting mad after the announcement.,spitting mad,Red,Angry,Negative
The baby was tearful after the fall.,tearful,Red,Angry,Negative
The bride was ticked off by the photographer's behavior.,ticked off,Red,Angry,Negative
The team was worked up before the game.,workedup,Red,Angry,Negative
The children were wrathful after being punished.,wrathful,Red,Angry,Negative
The couple was angry after the argument.,angry,Red,Angry,Negative
The students were bitter after the rejection.,bitter,Red,Angry,Negative
The family was boiling after the accusation.,boiling,Red,Angry,Negative
I'm feeling fond of you today.,fond,Pink,Love,positive
She was tender with her newborn baby.,tender,Pink,Love,positive
He was warm towards his old friend.,warm,Pink,Love,positive
The children were affectionate with their pets.,affectionate,Pink,Love,positive
I adore spending time with you.,adore,Pink,Love,positive
They were besotted with each other.,besotted,Pink,Love,positive
The audience was enamored of the singer.,enamored,Pink,Love,positive
He was smitten with the new girl in town.,smitten ,Pink,Love,positive
She was infatuated with the idea of traveling.,infatuated,Pink,Love,positive
The team was in love with the sport.,love,Pink,Love,positive
The atmosphere was romantic at the candlelit dinner.,romantic,Pink,Love,positive
The couple was passionate about their work.,passionate,Pink,Love,positive
The students were devoted to their studies.,devoted,Pink,Love,positive
The weather was lovely on the day of the picnic.,lovely,Pink,Love,positive
The guests were charmed by the host's hospitality.,charmed,Pink,Love,positive
The family was crazy about their new puppy.,crazy,Pink,Love,positive
The employees were enthusiastic about the new project.,enthusiastic,Pink,Love,positive
The baby was cherished by her parents.,cherrished,Pink,Love,positive
The bride was enchanting on her wedding day.,enchanting,Pink,Love,positive
The team was excited about the upcoming game.,excited,Pink,Love,positive
The children were happy as they played in the park.,happy,Pink,Love,positive
The couple was inseparable after their first date.,inseparable,Pink,Love,positive
The students were keen to learn new things.,keen,Pink,Love,positive
The family was loving and supportive.,loving,Pink,Love,positive
The guests were mesmerized by the magician's tricks.,mesmerized,Pink,Love,positive
The employees were motivated to succeed.,motivated,Pink,Love,positive
The baby was precious to her grandparents.,precious,Pink,Love,positive
The bride was radiant in her wedding gown.,radiant,Pink,Love,positive
The team was thrilled to be in the finals.,thrilled,Pink,Love,positive
The children were adorable in their costumes.,adorable,Pink,Love,positive
The couple was blissful on their honeymoon.,blissful,Pink,Love,positive
The students were curious about the world.,curious,Pink,Love,positive
The family was endearing in their traditions.,endearing,Pink,Love,positive
The guests were friendly and welcoming.,friendly,Pink,Love,positive
The employees were hardworking and dedicated.,hardworking,Pink,Love,positive
The baby was innocent and pure.,innocent,Pink,Love,positive
The bride was joyful as she danced with her husband.,joyful,Pink,Love,positive
The team was lucky to have such great fans.,lucky,Pink,Love,positive
The children were playful as they ran around.,playful,Pink,Love,positive
The couple was romantic as they watched the sunset.,romantic,Pink,Love,positive
The students were smart and talented.,smart,Pink,Love,positive
The family was special and unique.,special,Pink,Love,positive
The guests were thankful for the invitation.,thankful,Pink,Love,positive
The employees were valuable members of the team.,valuable,Pink,Love,positive
The baby was wonderful and amazing.,wonderful,Pink,Love,positive
The bride was youthful and beautiful.,youthful,Pink,Love,positive
The team was zealous about winning the championship.,zealous,Pink,Love,positive
The children were bright and creative.,bright,Pink,Love,positive
The couple was committed to their relationship.,committed,Pink,Love,positive
The students were determined to succeed.,determined,Pink,Love,positive
The family was generous and kind.,generous,Pink,Love,positive
The guests were hospitable and gracious.,hospitable,Pink,Love,positive
